k,silhouette_score,inertia,runtime_seconds,min_cluster_size,max_cluster_size,median_cluster_size,small_cluster_count_lt_10
40,0.020826,13917.331,10.817,87,1880,331.0,0
41,0.01926,13904.054,5.838,109,1563,277.0,0
42,0.019544,13894.829,5.967,110,1498,285.5,0
43,0.020625,13882.559,6.182,112,1432,267.0,0
44,0.021916,13873.089,6.393,119,1898,267.0,0
45,0.020851,13860.747,6.398,31,1704,231.0,0
46,0.022171,13853.134,6.692,73,1669,245.0,0
47,0.020711,13841.052,6.777,78,1959,237.0,0
48,0.021549,13824.087,6.93,68,1559,247.5,0
49,0.02095,13830.199,7.112,56,1630,225.0,0
50,0.021393,13816.382,7.134,72,1237,232.5,0
51,0.02254,13805.791,7.202,72,875,234.0,0
52,0.023651,13797.183,7.264,104,1397,228.0,0
53,0.023367,13788.187,7.445,67,1225,233.0,0
54,0.023768,13780.964,7.562,39,1598,213.0,0
55,0.023926,13767.614,7.87,105,1362,212.0,0
56,0.023876,13753.903,7.906,49,1394,193.0,0
57,0.024433,13754.287,8.143,68,1214,210.0,0
58,0.023267,13730.178,8.118,62,1229,193.0,0
59,0.022389,13736.066,8.236,58,1319,212.0,0
60,0.024614,13719.675,8.38,55,1324,193.5,0
